mnid,clean_cooking,clean_lighting,div_index,pol_index,new_lu_name,yhat_ols,yhat_fe_div,yhat_fe_both
Bode Barsain Municipality,.11051694,.99108732,.64373046,.78667593,,.21387185,.12637644,.13844088
Dakneshwori Municipality,.067484662,.97896582,.69243795,.7707566,,.24668171,.15024003,.16863295
Rajgadh Gaunpalika,.03960396,.95709568,.6902712,.76779586,,.24621394,.11820434,.13206552
Bishnupur Gaunpalika,.12453761,.98643649,.6135661,.76193476,,.22081141,.13877711,.16283795
Rajbiraj Municipality,.46337926,.98839736,.57913721,.73756117,,.28211918,.37847042,.37973949
Mahadewa Gaunpalika,.072892942,.99202734,.69326156,.77811921,,.22508207,.12052864,.14002097
Tirahut Gaunpalika,.066496164,.99104857,.58061719,.88744479,,.18106486,.11187474,.1362768
Hanumannagar Kankalini Municipality,.095762715,.98813558,.59629548,.77864158,,.20754357,.14086276,.15535226
Tilathi Koiladi Gaunpalika,.072131149,.99125683,.6435647,.82788736,,.19820161,.10554475,.11574059
Chhinnamasta Gaunpalika,.065592632,.99424624,.55965585,.78242427,,.19561394,.14752118,.17966227
Lahan Municipality,.3248671,.98523331,.71628541,.72936362,,.28199267,.2879616,.29731289
Dhangadhimai Municipality,.22352941,.98823529,.67568821,.71309638,,.22609349,.23892124,.25455144
Golbazar Municipality,.30398795,.99021822,.69202876,.71290994,,.26357347,.27021366,.28990567
Mirchaiya Municipality,.28582615,.99216914,.59777921,.75799358,,.21922767,.27156714,.29804415
Karjanha Municipality,.28793773,.99319065,.7011528,.7394219,,.21902594,.24874514,.27089968
Kalyanpur Municipality,.24700239,.99280578,.67991418,.76691675,,.22823071,.23420303,.24301215
Naraha Gaunpalika,.098176718,.98597473,.63525444,.78513765,,.28014225,.18851724,.19974804
Bishnupur Gaunpalika,.18904109,.99178082,.4346568,.76360559,,.21694273,.24163574,.24370216
Arnama Gaunpalika,.096692115,1,.62293339,.76836407,,.19952662,.17702538,.18684791
Sukhipur Municipality,.17475729,.99126214,.53935403,.72869527,,.17764319,.19831942,.21026401
Laxmipur Patari Gaunpalika,.14418605,.98720932,.68707246,.78864187,,.20896001,.15816358,.17632809
Sakhuwa Nankarkatti Gaunpalika,.11,.99285716,.55995035,.79076123,,.22559118,.18663174,.18503559
Bhagawanpur Gaunpalika,.095108695,.99728262,.56466967,.78363192,,.18671383,.1344541,.15434517
Nawarajpur Gaunpalika,.044349071,.99284691,.46555132,.72534597,,.16564958,.12424109,.11750506
Bariyarpatti Gaunpalika,.10843374,.9891566,.46967986,.73728842,,.17618065,.18083715,.18021616
Aurahi Gaunpalika,.099876694,.99753392,.41643885,.6928848,,.15000947,.14994581,.14329655
Siraha Municipality,.35705444,.99504948,.58898294,.77828223,,.19621843,.28093454,.28719059
Ganeshman Charnath Municipality,.26635945,.99262673,.68596262,.69972253,,.21120133,.23282279,.25659937
Dhanushadham Municipality,.2589134,.99320883,.64759827,.72350955,,.19926335,.21229145,.24114892
Mithila Municipality,.32882503,.99661875,.64828926,.73935854,,.26543996,.2824164,.29167801
Bateshwor Gaunpalika,.25981057,.9945873,.56605566,.71780574,,.23663579,.25825021,.27409264
Chhireshwornath Municipality,.39679864,.99410278,.61269772,.73370564,,.24892634,.32535267,.33978847
Laxminiya Gaunpalika,.40841866,.98748577,.50999123,.77785444,,.15252754,.29710823,.31247783
Mithila Bihari Municipality,.29051986,.99694192,.61097234,.76433921,,.17233543,.24491897,.25386551
Hansapur Municipality,.22565544,.99625468,.5895294,.79421079,,.18614602,.22476925,.24971668
Sabaila Municipality,.34792808,.99765444,.56212181,.74841452,,.16124642,.27073351,.28773493
Shahidnagar Municipality,.2338843,.99421489,.4716503,.78179651,,.17022432,.2368713,.24611141
Kamala Municipality,.1387337,.99348229,.55563354,.77784157,,.17086759,.1763653,.18584956
Janak Nandini Gaunpalika,.23661271,.9912827,.56068486,.7863059,,.15368196,.21338455,.22354054
